422-092815	208-9-10-14_S11	62-10-2-13_S6	115-031814	272-121914
ABHD10	37.2946008271437	22.897639858448	34.2581327091911	29.2626158692992	34.3819490458952
ABHD11	37.0835988422659	7.97689244290554	25.9816992280111	40.1025793261811	21.1153521342196
ABHD12	68.5090815725161	19.2421103371167	17.0569603621433	127.473070808681	134.928023476147
ABHD13	31.1826641848616	36.1611388238509	15.2661496006875	20.2095745700465	28.5223904190857
ABHD14A	64.9046276233011	12.6657708604291	6.31277355460513	52.7191677713882	47.0252918794839
ABHD14B	252.490541892036	16.8031558450936	40.675876514845	284.291651296632	113.826222002732
ABHD15	30.4445631246008	5.33702753696008	23.4890248570706	27.9245830694656	21.5098724870585
ABHD2	41.1859820985376	15.0070426373052	27.1561156308375	10.5849430168761	68.6211977667687
ABHD3	19.0066356183202	15.7226904951279	15.2785039478422	17.0064324730276	24.587852822316
ABHD4	19.9272756894847	2.64346942582178	9.18631726101865	70.8350360357037	45.489469465951
ABHD5	13.1176312322642	17.3638364345844	8.50868768154655	16.9875137561809	10.7743954277323
ABHD6	28.0983138605013	31.9850738132411	34.7130575042314	82.242845227808	25.1860738778239
ABHD8	30.4457231545095	2.04894712114418	0.763833119341615	37.4705963984825	26.9876873974675
ABI1	72.3076347972185	34.9252349880301	96.8357479613229	68.0963092427538	81.8787794669697
ABI2	28.2348323173679	18.6421504436192	14.205601993141	21.9624292642292	32.5641613551562
ABI3	19.759234527197	3.5333218663212	0.674152106176057	14.8701257092832	41.1291336090927
ABI3BP	10.9901703756139	4.0545501303625	1.06679131116241	0.353577394073574	16.6449871770053
ABL1	55.1320732950236	21.5853938848305	19.5071795532062	73.1153194110574	34.2788913821193
ABL2	34.4274491028728	28.8682176224814	10.8008108948655	16.2218532945458	22.6434920744142
ABLIM1	14.0711061889482	19.0576868906296	4.21951202341622	21.8667324046901	11.1437399919807
ABLIM2	0.029068076693918	0.191177392033077	0.18815172075493	0.156175474474199	0.205764022919298
ABLIM3	32.3110740433238	3.10181404969897	6.72601533993494	19.2104370892321	17.4256608797558
ABR	104.697492586544	24.4946656872208	32.2794774023909	33.0627136720857	66.3880322356587
ABT1	132.36193620311	13.8738450864816	20.7221313966948	68.626430912594	72.7146503589058
ABTB1	24.6494717968257	2.31230450526207	2.35530582004265	52.7488711653427	29.0677750607615
ABTB2	46.8519614641311	6.60307472490204	5.48148432280802	41.8122336506451	23.4430850405074
ACAA1	53.2253947337383	8.17561923403235	14.9178907881991	52.5033947039439	47.8181308620587
ACAA2	28.8427990995402	8.71458212181288	11.3979942970609	75.2277738607905	29.4578897812061
ACACA	10.9277195924251	9.09827830252434	16.4579347101035	12.7104630725452	12.3594147546301
ACACB	1.08447896840085	2.28893145044017	3.17510459884709	8.90061046966677	7.016707530517
ACAD10	9.3405044310866	1.27489936385838	7.55611174642306	15.1276362555592	10.8176246130246
ACAD8	18.4412109975102	8.495286543739	16.4124287172684	12.7452901947581	30.2706025742628
