6	18	2	3	4	6.1	6.2	8	9	•15	16	18.1	24	25	49	50	52	54
C5	6.991	7.593	5.715	5.058	6.151	6.993	6.765	6.63	6.167	5.69	4.891	10.04	4.271	5.507	5.404	6.465	7.083	6.364
CADM1	8.665	6.284	9.4	8.228	7.639	6.763	6.553	8.283	7.813	9.851	7.148	9.28	10.48	10.08	5.723	9.667	5.457	9.253
CADM2	4.232	3.432	5.261	6.143	5.464	5.506	3.681	5.986	5.758	3.494	3.77	7.985	4.439	3.692	3.957	5.235	8.627	8.969
CADM3	6.597	4.906	7.289	5.166	7.929	7.453	3.481	7.439	6.464	4.777	2.73	0	7.441	4.128	7.093	6.284	3.741	10.11
CADM4	5.204	0	9.111	8.953	6.683	4.642	0.3113	6.302	7.117	7.091	7.075	7.985	6.911	5.628	7.586	7.165	7.828	8.319
CALR	13.6	15.64	15.55	14.49	14.76	14.22	14.55	13.75	13.51	13.68	13.72	17.49	13.8	12.67	13.35	13.87	15.91	14.06
CANX	12.92	13.8	13.32	12.84	12.82	13.31	13.37	12.95	13.4	12.58	12.62	13.44	13.2	13.44	12.2	12.81	11.09	12.91
CARD11	5.346	7.273	8.412	7.091	6.442	4.738	0.3113	9.112	6.818	6.344	4.737	12.54	7.206	3.247	5.969	7.534	12.09	6.638
CASP1	10.33	8.966	10.87	9.504	9.218	10.83	11.19	11.11	10.08	10.5	11.15	11.15	10.88	8.207	8.998	11.35	9.63	10.02
CASP3	10.22	9.148	10.78	10.2	9.956	9.91	10.11	10.73	10.27	10.26	10.16	9.655	10.23	10.01	10.24	10.31	11.22	10.53
CASP4	9.447	8.966	10.69	9.892	10.15	10.08	10.01	10.57	9.685	9.755	8.779	11.03	10.12	9.501	9.018	9.493	10.86	9.353
CCBP2	5.346	3.432	3.327	6.269	4.35	5.885	0	7.091	5.521	5.489	3.872	0	2.893	1.684	3.06	6.256	6.488	4.99
CCL1	0	5.306	2.409	4.749	4.106	0.09366	0	3.937	2.308	0	0	2.94	0	0	3.27	0	3.741	0
CCL11	2.683	6.095	6.158	7.386	9.081	4.991	0	4.622	5.072	5.763	6.299	8.963	5.749	4.347	2.517	6.99	7.237	5.946
CCL13	7.534	6.284	9.296	8.938	7.673	9.421	5.886	10.21	8.508	9.126	6.06	9.416	5.389	5.771	5.998	6.39	7.922	7.761
CCL14	8.534	5.877	5.839	7.993	8.897	10.3	5.521	9.572	7.239	7.689	3.968	10.53	5.017	5.228	2.942	9.849	0	7.337
CCL15	6.209	9.992	7.289	7.704	8.138	7.997	4.876	7.261	7.103	7.077	6.779	14.01	6.628	6.623	6.901	7.308	11.24	7.296
CCL16	3.709	3.432	0	5.217	4.558	5.272	2.633	5.27	2.659	0	0	8.963	3.459	0	3.169	4.507	5.888	2.693
CCL17	4.557	10.42	7.053	5.946	3.218	2.63	4.399	7.439	5.478	6.774	6.626	10.12	6.521	3.158	4.736	4.507	7.237	6.384
CCL18	10.83	6.095	8.489	12.36	13.39	10.08	8.473	11.66	11.81	10.07	8.871	0	7.944	10.39	7.898	10.17	7.828	13.05
CCL19	7.753	7.969	8.899	8.184	7.507	8.57	0	10.3	6.612	9.553	2.212	11.3	10	5.04	6.917	8.306	11.57	8.911
CCL2	9.276	9.098	11.73	11.62	11.3	10.45	10.28	9.696	10.13	8.897	8.423	11.47	11.6	8.052	9.112	10.73	7.503	10.16
CCL20	6.263	6.452	11.1	5.166	6.518	4.911	4.281	6.697	5.863	4.777	9.683	7.584	6.363	3.814	5.336	7.855	7.62	5.681
CCL21	7.869	9.219	9.526	5.946	7.088	7.495	3.856	10.22	8.39	8.349	5.074	13.51	5.871	2.96	0.1948	6.56	9.931	3.31
CCL22	4.961	5.619	6.832	5.001	6.705	5.206	2.974	8.977	5.863	6.344	5.416	7.028	5.119	2.96	4.376	4.986	7.376	6.281
CCL23	1.387	4.349	3.883	4.051	4.458	4.181	0	3.61	0	0	0	6.11	0	0	2.342	1.747	0	2.693
CCL24	4.436	0	3.883	3.669	5.907	3.5	0	6.935	2.659	4.461	3.541	7.028	3.977	0.584	0	5.588	6.219	5.473
CCL25	1.387	0.2619	3.883	4.051	0	0	0	3.188	2.308	0	0	8.555	3.293	0	3.06	2.969	7.376	3.31
CCL26	2.683	0	6.158	4.603	2.187	2.164	0	4.32	4.744	3.936	3.411	9.13	0	2.85	3.169	4.507	7.083	6.719
CCL27	7.239	8.659	0	2.65	0	0	1.534	10.19	8.175	7.454	5.31	10.41	2.641	2.122	1.635	0	6.219	0
CCL28	8.534	9.74	7.566	7.553	7.348	8.497	9.147	8.132	8.691	8.574	8.843	8.963	9.462	9.726	10.7	8.953	7.237	8.375
CCL3	8.311	7.273	9.469	9.247	9.081	8.178	7.768	9.61	10.73	9.594	10.51	10.41	9.374	7.543	7.933	10.69	10.74	9.757
CCL4	7.145	7.793	10.62	8.612	7.185	6.993	5.572	10.81	10.71	8.384	7.936	11.3	9.157	5.451	7.829	10.72	10.93	9.203
CCL5	8.564	9.148	11.68	9.61	7.231	8.841	7.262	13.55	11.73	10.17	8.687	13.69	10.88	5.595	9.1	11.96	14.04	10.61
CCL7	4.436	5.877	6.832	6.244	6.831	6.283	7.114	5.582	4.816	5.304	5.346	7.584	5.506	4.672	6.267	5.345	6.219	6.281
